제목,주최사,url,장소,장르,시작일,종료일,등록일
오마주 투 쇼팽,"더벨, (주)스톰프뮤직",https://www.sac.or.kr/site/main/show/show_view?SN=46607,콘서트홀,클래식,2022-12-11,2022-12-11,2021-07-13
최재희 클라리넷 리사이틀,NFAMusic(뉴화인아트뮤직),https://www.sac.or.kr/site/main/show/show_view?SN=47272,리사이틀홀,독주,2022-12-11,2022-12-11,2021-10-21
권민지 귀국 바이올린 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=46613,리사이틀홀,독주,2022-12-10,2022-12-10,2021-07-15
이수민 피아노 독주회,이든예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46940,인춘아트홀,독주,2022-12-10,2022-12-10,2021-08-13
이신형 기타 독주회,위드클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48638,리사이틀홀,독주,2022-12-10,2022-12-10,2022-05-27
이영우 피아노 독주회,콘서트디자인,https://www.sac.or.kr/site/main/show/show_view?SN=46612,리사이틀홀,독주,2022-12-10,2022-12-10,2021-07-16
[오리지널 내한 콘서트] 원피스 뮤직 심포니 필름콘서트,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=46610,콘서트홀,클래식,2022-12-10,2022-12-10,2021-07-14
호안 미로 특별전 (가제),(주)가우디움어소시에이츠,https://www.sac.or.kr/site/main/show/show_view?SN=46453,한가람미술관,전시,2022-12-10,2023-03-25,2021-05-10
케이트 리우 피아노 리사이틀,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=46611,IBK챔버홀,클래식,2022-12-10,2022-12-10,2021-07-15
트리오 아티스트리 제4회 정기연주회,TRIO ARTISTRY,https://www.sac.or.kr/site/main/show/show_view?SN=46614,IBK챔버홀,실내악,2022-12-10,2022-12-10,2021-07-09
임윤찬 피아노 리사이틀,"예술의전당, 주식회사 목프로덕션",https://www.sac.or.kr/site/main/show/show_view?SN=48654,콘서트홀,독주,2022-12-10,2022-12-10,2022-07-01
오페라 라 트라비아타,"솔오페라단, 동아일보",https://www.sac.or.kr/site/main/show/show_view?SN=45167,오페라극장,오페라,2022-12-09,2022-12-11,2020-12-29
오정현 더블베이스 독주회,영음예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=46615,리사이틀홀,독주,2022-12-09,2022-12-09,2021-07-13
피아니스트 이정화 리사이틀,음악교육신문사,https://www.sac.or.kr/site/main/show/show_view?SN=46941,인춘아트홀,독주,2022-12-09,2022-12-09,2021-08-13
국립심포니 : DRs Pick Ⅳ - 천지창조,(재)국립심포니오케스트라,https://www.sac.or.kr/site/main/show/show_view?SN=46616,콘서트홀,교향곡,2022-12-09,2022-12-09,2021-07-15
(사)서울오케스트라 송년음악회,사단법인 서울오케스트라,https://www.sac.or.kr/site/main/show/show_view?SN=46617,IBK챔버홀,클래식,2022-12-09,2022-12-09,2021-07-16
"국립현대무용단 [겨울 나그네: 시간에게,]",재단법인국립현대무용단,https://www.sac.or.kr/site/main/show/show_view?SN=45165,자유소극장,무용,2022-12-09,2022-12-11,2020-12-22
2022 온드림 콘서트,,https://www.sac.or.kr/site/main/show/show_view?SN=47813,콘서트홀,기타,2022-12-08,2022-12-08,2022-02-08
한화생명과 함께하는 예술의전당 11시 콘서트(12월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=45391,콘서트홀,클래식,2022-12-08,2022-12-08,2021-02-09
허원숙 하이든 프로젝트 III '니콜라우스 에스터하지',(주)오푸스,https://www.sac.or.kr/site/main/show/show_view?SN=46618,IBK챔버홀,독주,2022-12-08,2022-12-08,2021-07-10
